iter	Passed	Remaining
1115	18460	14623
1116	18478	14607
1117	18493	14589
1118	18510	14573
1119	18525	14555
1120	18539	14536
1121	18554	14519
1122	18569	14501
1123	18585	14485
1124	18602	14468
1125	18624	14456
1126	18639	14438
1127	18653	14420
1128	18667	14401
1129	18682	14383
1130	18695	14364
1131	18709	14346
1132	18723	14327
1133	18752	14320
1134	18766	14302
1135	18782	14285
1136	18798	14268
1137	18816	14253
1138	18832	14235
1139	18850	14220
1140	18866	14203
1141	18882	14186
1142	18897	14168
1143	18923	14159
1144	18938	14141
1145	18953	14124
1146	18968	14106
1147	18982	14088
1148	18996	14069
1149	19013	14053
1150	19028	14036
1151	19044	14018
1152	19061	14002
1153	19077	13985
1154	19093	13968
1155	19107	13950
1156	19123	13933
1157	19142	13919
1158	19158	13901
1159	19173	13884
1160	19189	13867
1161	19203	13849
1162	19218	13831
1163	19232	13813
1164	19246	13794
1165	19262	13778
1166	19279	13761
1167	19295	13744
1168	19309	13726
1169	19325	13709
1170	19339	13691
1171	19360	13678
1172	19377	13661
1173	19391	13643
1174	19406	13626
1175	19422	13608
1176	19439	13592
1177	19455	13575
1178	19469	13557
1179	19483	13539
1180	19499	13522
1181	19514	13504
1182	19528	13486
1183	19542	13468
1184	19555	13449
1185	19571	13432
1186	19586	13415
1187	19600	13397
1188	19615	13379
1189	19631	13362
1190	19648	13346
1191	19663	13329
1192	19679	13312
1193	19695	13295
1194	19711	13278
1195	19726	13260
1196	19752	13250
1197	19768	13234
1198	19784	13217
1199	19801	13200
1200	19816	13183
1201	19838	13170
1202	19853	13152
1203	19868	13135
1204	19882	13117
1205	19897	13099
1206	19912	13082
1207	19928	13065
1208	19944	13048
1209	19958	13030
1210	19974	13013
1211	19989	12996
1212	20004	12979
1213	20020	12961
1214	20034	12944
1215	20049	12926
1216	20063	12908
1217	20077	12890
1218	20090	12871
1219	20105	12854
1220	20120	12836
1221	20135	12819
1222	20158	12807
1223	20173	12789
1224	20188	12772
1225	20203	12754
1226	20223	12740
1227	20238	12723
1228	20255	12707
1229	20270	12689
1230	20284	12671
1231	20298	12653
1232	20313	12636
1233	20327	12618
1234	20341	12600
1235	20356	12582
1236	20373	12566
1237	20394	12553
1238	20411	12536
1239	20427	12520
1240	20442	12502
1241	20474	12495
1242	20490	12478
1243	20505	12461
1244	20520	12443
1245	20535	12426
1246	20550	12409
1247	20566	12392
1248	20581	12375
1249	20598	12358
1250	20613	12341
1251	20628	12324
1252	20644	12307
1253	20660	12290
1254	20675	12273
1255	20691	12256
1256	20707	12239
1257	20722	12222
1258	20737	12205
1259	20753	12188
1260	20769	12171
1261	20784	12154
1262	20799	12137
1263	20814	12119
1264	20829	12102
1265	20845	12085
1266	20861	12068
1267	20875	12051
1268	20890	12033
1269	20907	12017
1270	20921	11999
1271	20937	11982
1272	20959	11969
1273	20974	11952
1274	20988	11934
1275	21003	11917
1276	21020	11900
1277	21035	11883
1278	21050	11866
1279	21064	11848
1280	21080	11831
1281	21094	11814
1282	21109	11796
1283	21122	11778
1284	21138	11761
1285	21154	11745
1286	21169	11727
1287	21184	11710
1288	21199	11693
1289	21227	11683
1290	21242	11666
1291	21259	11649
1292	21275	11633
1293	21320	11632
1294	21335	11614
1295	21349	11597
1296	21364	11579
1297	21377	11561
1298	21392	11544
1299	21406	11526
1300	21420	11509
1301	21446	11497
1302	21462	11480
1303	21477	11463
1304	21491	11445
1305	21505	11427
1306	21519	11410
1307	21533	11392
1308	21547	11374
1309	21561	11356
1310	21575	11339
1311	21589	11321
1312	21603	11303
1313	21620	11287
1314	21638	11271
1315	21657	11256
1316	21671	11238
1317	21686	11221
1318	21701	11204
1319	21715	11187
1320	21731	11170
1321	21745	11152
1322	21759	11134
1323	21772	11116
1324	21788	11099
1325	21803	11082
1326	21817	11064
1327	21832	11047
1328	21863	11038
1329	21879	11021
1330	21893	11004
1331	21907	10986
1332	21921	10969
1333	21936	10951
1334	21950	10934
1335	21978	10923
1336	21993	10906
1337	22008	10889
1338	22023	10872
1339	22039	10855
1340	22054	10838
1341	22069	10820
1342	22085	10804
1343	22099	10786
1344	22114	10769
1345	22130	10752
1346	22144	10735
1347	22159	10718
1348	22173	10700
1349	22187	10683
1350	22201	10665
1351	22215	10647
1352	22230	10630
1353	22274	10627
1354	22304	10617
1355	22319	10600
1356	22333	10582
1357	22347	10565
1358	22362	10547
1359	22376	10530
1360	22407	10520
1361	22421	10503
1362	22437	10486
1363	22451	10468
1364	22466	10451
1365	22492	10439
1366	22506	10422
1367	22521	10404
1368	22534	10386
1369	22549	10369
1370	22568	10354
1371	22582	10336
1372	22596	10319
1373	22611	10301
1374	22626	10284
1375	22641	10267
1376	22667	10255
1377	22681	10238
1378	22711	10227
1379	22726	10210
1380	22741	10193
1381	22756	10176
1382	22770	10158
1383	22786	10141
1384	22801	10124
1385	22814	10106
1386	22829	10089
1387	22843	10072
1388	22858	10055
1389	22873	10038
1390	22910	10030
1391	22924	10013
1392	22938	9995
1393	22953	9978
1394	22967	9960
1395	22982	9943
1396	22996	9926
1397	23010	9908
1398	23025	9891
1399	23039	9874
1400	23055	9857
1401	23070	9840
1402	23085	9823
1403	23099	9805
1404	23114	9788
1405	23129	9771
1406	23142	9753
1407	23157	9736
1408	23172	9719
1409	23187	9702
1410	23201	9685
1411	23215	9667
1412	23230	9650
1413	23245	9633
1414	23261	9617
1415	23277	9600
1416	23295	9584
1417	23311	9567
1418	23325	9550
1419	23349	9537
1420	23363	9519
1421	23378	9502
1422	23393	9485
1423	23407	9468
1424	23421	9450
1425	23436	9433
1426	23451	9416
1427	23466	9399
1428	23491	9386
1429	23506	9369
1430	23519	9351
1431	23533	9334
1432	23548	9317
1433	23562	9300
1434	23579	9283
1435	23594	9266
1436	23609	9249
1437	23625	9233
1438	23641	9216
1439	23658	9200
1440	23674	9184
1441	23689	9166
1442	23704	9149
1443	23718	9132
1444	23734	9115
1445	23748	9098
1446	23763	9081
1447	23778	9064
1448	23793	9047
1449	23809	9031
1450	23824	9014
1451	23839	8997
1452	23854	8980
1453	23871	8964
1454	23888	8947
1455	23904	8931
1456	23922	8915
1457	23951	8903
1458	23965	8886
1459	23979	8869
1460	23993	8851
1461	24007	8834
1462	24023	8817
1463	24038	8800
1464	24053	8784
1465	24070	8767
1466	24085	8750
1467	24100	8734
1468	24114	8716
1469	24130	8700
1470	24153	8686
1471	24168	8669
1472	24183	8652
1473	24198	8635
1474	24213	8618
1475	24228	8601
1476	24243	8584
1477	24257	8567
1478	24271	8550
1479	24286	8533
1480	24302	8516
1481	24316	8499
1482	24330	8481
1483	24344	8464
1484	24360	8448
1485	24376	8431
1486	24391	8414
1487	24405	8397
1488	24420	8380
1489	24434	8363
1490	24448	8346
1491	24463	8329
1492	24478	8312
1493	24492	8295
1494	24507	8278
1495	24521	8261
1496	24536	8244
1497	24550	8227
1498	24578	8214
1499	24592	8197
1500	24606	8180
1501	24620	8163
1502	24635	8146
1503	24649	8129
1504	24664	8112
1505	24679	8095
1506	24693	8078
1507	24708	8061
1508	24722	8044
1509	24737	8027
1510	24752	8010
1511	24782	7998
1512	24797	7981
1513	24812	7964
1514	24826	7947
1515	24841	7930
1516	24861	7915
1517	24877	7899
1518	24892	7882
1519	24907	7865
1520	24922	7848
1521	24936	7831
1522	24951	7814
1523	24964	7797
1524	24978	7780
1525	24994	7763
1526	25009	7746
1527	25022	7729
1528	25050	7716
1529	25065	7699
1530	25080	7683
1531	25096	7666
1532	25111	7649
1533	25126	7632
1534	25140	7615
1535	25155	7598
1536	25170	7582
1537	25184	7565
1538	25198	7548
1539	25213	7531
1540	25228	7514
1541	25243	7497
1542	25257	7480
1543	25273	7464
1544	25289	7447
1545	25303	7430
1546	25318	7413
1547	25332	7396
1548	25346	7379
1549	25360	7362
1550	25375	7345
1551	25388	7328
1552	25405	7312
1553	25421	7296
1554	25435	7279
1555	25449	7261
1556	25464	7245
1557	25480	7228
1558	25495	7212
1559	25510	7195
1560	25525	7178
1561	25540	7161
1562	25553	7144
1563	25567	7127
1564	25582	7110
1565	25596	7093
1566	25611	7077
1567	25629	7061
1568	25644	7044
1569	25660	7028
1570	25676	7011
1571	25692	6995
1572	25713	6979
1573	25727	6962
1574	25742	6946
1575	25756	6929
1576	25770	6912
1577	25784	6895
1578	25799	6878
1579	25812	6861
1580	25826	6844
1581	25841	6827
1582	25855	6810
1583	25870	6794
1584	25885	6777
1585	25900	6760
1586	25914	6743
1587	25929	6727
1588	25944	6710
1589	25959	6693
1590	25972	6676
1591	25987	6660
1592	26001	6643
1593	26015	6626
1594	26029	6609
1595	26044	6592
1596	26060	6576
1597	26075	6559
1598	26090	6542
1599	26103	6525
1600	26132	6512
1601	26146	6495
1602	26161	6479
1603	26174	6462
1604	26189	6445
1605	26203	6428
1606	26217	6411
1607	26232	6394
1608	26246	6378
1609	26261	6361
1610	26276	6344
1611	26290	6328
1612	26305	6311
1613	26320	6294
1614	26334	6277
1615	26347	6260
1616	26364	6244
1617	26378	6227
1618	26392	6210
1619	26416	6196
1620	26430	6179
1621	26445	6163
1622	26460	6146
1623	26476	6130
1624	26490	6113
1625	26509	6097
1626	26523	6080
